"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
451,9412,$616.00,"DESCUENTO ORDEN 2922 MODELO 62029 ARREGLO DE CIERRE Y CAMBIO DE ETIQUETA MAL PEGADA 54 PIEZAS POR 5 $ 270 692 PIEZAS A 50 CENTAVOS $346"
452,9419,$140.00,"2 prendas orden 2942"
453,9440,$400.00,"5 prendas orden 2933, 2938"
454,9448,$1040.00,"26 prendas ordes. 2962, 2959, 2961"
455,9456,$100.00,"1 prenda ord 2937"
456,9483,$700.00,"entrega chamarras"
457,9514,$1992.00,"20% del corte 2947"
458,9549,$1150.00,"23 prendas c&A bebes"
459,9586,$650.00,"13 prendas ordenes 2972 y 2973"
460,9593,$400.00,"8 prendas 2971"
461,9616,$2840.00,"Descuento orden 2969 rechazo c&a planchado y refilado de prendas modelo 20432  1,020 piezas a 2 pesos y 800 pesos por gastos de flete de recolecion."
462,9618,$2840.00,"orden 2870 modelo 20433  planchado y refilado de prendas  1,020 poezas a dos pesos y 80 pesos de flete por la recoleccion de la mercancia"
463,9685,$500.00,"10 prendas ordenes 2985 y 2980"
464,9690,$210.00,"deshebrado orden 2982"
465,9720,$480.00,"8 prendas orden 2966"
466,9726,$240.00,"3 prendas 2997"
467,9748,,
468,9749,$330.00,"Deshebrado  y etiqueta de 150 prendas orden 2986"
469,9784,$900.00,"6 prendas orden 2984 - 100
6 prendas orden 2981 - 50"
470,9787,$4066.00,"orden 2984 modelo 74981"
471,9788,$1219.00,"orden 2987 modelo 74029"
472,9790,$884.00,"orden 2984 modelo 74981"
473,9792,$225.00,"orden 2981 modelo 54995"
474,9807,$495.00,
475,9817,$0.00,
476,9820,$4595.00,"Cierrres muy mal colocados orden 2967 a $5.00"
477,9824,$1650.00,"ORDEN 2981 MODELO 54995 TRASNPORTE $ 1,400 TIEMPO EXTRA $ 250.00"
478,9826,$300.00,"6 prendas orden 2981"
479,9867,$400.00,"4 prendas orden 3002"
480,9874,$1365.00,"descuento compra de prendas 11 a $124 pesos modelo 61042 y 61041"
481,9878,$120.00,"descuento 120 pesos por  gasto transporte"
482,9929,$560.00,"7 prendas orden 3003"
483,9942,$320.00,"4 prendas ords 3005 y 3006"
484,9984,$1500.00,"13 sudaderas ni¤o 3015  y 4 playeras ni¤a 3010"
